,Brand,Model,VehicleType,MSRP,Horsepower
0,Acura,MDX,SUV,"$36,945",265
1,Acura,RSX Type S 2dr,Sedan,"$23,820",200
2,Acura,TSX 4dr,Sedan,"$26,990",200
3,Acura,TL 4dr,Sedan,"$33,195",270
4,Acura,3.5 RL 4dr,Sedan,"$43,755",225
5,Acura,3.5 RL w/Navigation 4dr,Sedan,"$46,100",225
6,Acura,NSX coupe 2dr manual S,Sports,"$89,765",290
7,Audi,A4 1.8T 4dr,Sedan,"$25,940",170
8,Audi,A41.8T convertible 2dr,Sedan,"$35,940",170
9,Audi,A4 3.0 4dr,Sedan,"$31,840",220
10,Audi,A4 3.0 Quattro 4dr manual,Sedan,"$33,430",220
11,Audi,A4 3.0 Quattro 4dr auto,Sedan,"$34,480",220
12,Audi,A6 3.0 4dr,Sedan,"$36,640",220
13,Audi,A6 3.0 Quattro 4dr,Sedan,"$39,640",220
14,Audi,A4 3.0 convertible 2dr,Sedan,"$42,490",220
15,Audi,A4 3.0 Quattro convertible 2dr,Sedan,"$44,240",220
16,Audi,A6 2.7 Turbo Quattro 4dr,Sedan,"$42,840",250
17,Audi,A6 4.2 Quattro 4dr,Sedan,"$49,690",300
18,Audi,A8 L Quattro 4dr,Sedan,"$69,190",330
19,Audi,S4 Quattro 4dr,Sedan,"$48,040",340
20,Audi,RS 6 4dr,Sports,"$84,600",450
21,Audi,TT 1.8 convertible 2dr (coupe),Sports,"$35,940",180
22,Audi,TT 1.8 Quattro 2dr (convertible),Sports,"$37,390",225
23,Audi,TT 3.2 coupe 2dr (convertible),Sports,"$40,590",250
24,Audi,A6 3.0 Avant Quattro,Wagon,"$40,840",220
25,Audi,S4 Avant Quattro,Wagon,"$49,090",340
26,BMW,X3 3.0i,SUV,"$37,000",225
27,BMW,X5 4.4i,SUV,"$52,195",325
28,BMW,325i 4dr,Sedan,"$28,495",184
29,BMW,325Ci 2dr,Sedan,"$30,795",184
30,BMW,325Ci convertible 2dr,Sedan,"$37,995",184
31,BMW,325xi 4dr,Sedan,"$30,245",184
